name	alias
AfricanOilPalm	African oil palm
AsianEggplant	Asian Eggplant
Bambaragroundnut	Bambara Groundnut
BlackPepper	Black pepper
BroadBean	Broad beans
BrownMustard	Brown mustard
Buckwheat	Buckwheath
ChineseCabbage	Chinese Cabbage
ChineseTea	Chinese Tea
CocoaTree	Cocoa
CommonBean	Common Bean
Cowpea	Cow Pea
DatePalm	Date Palm
Fig	Fig Tree
Flax	Flax (Linseed)
Gardenpea	Garden Pea
Goosberry	Gooseberry
GreenPepper	Green Pepper
Mulbery	Mulberry
Orange	Sweet orange
Papayas	Papaya
Pearlmillet	Pearl Millet
Persimmons	Kaki
PigeonPea	Pigeon pea
Pomelo	Pummelo
Rapeseed	Rapeseed (CPA Set)
Rapeseed	Rapeseed (BN set)
RedCurrant	Red currant
SourCherry	Sour cherry
Sugarbeet	Sugar Beet
Sugarcane	Sugar cane
SweetCherry	Sweet cherry
SweetPotato	Sweet Potato
WhiteCabbage	White Cabbage
WhiteFonio	White Fonio /Fonio millet
WhiteYam	White Yam
WinterWheat	Winter wheat
Yautia	Yautia (American Taro)
YerbaMate	Yerba mate
